,Route id,Min headway/min,Min headway timeslot,Max headway/min,Max headway timeslot,Headway variation,Service timeslot,Service length/min,Round-trip schedule time
0,13,40.0,"['09:00:00', '09:40:00']",45.0,"['11:41:00', '12:26:00']",5.0,"['08:40:00', '22:52:00']",852.0,"[15.0, 17.0, 19.0, 20.0, 21.0]"
1,6,83.0,"['07:25:00', '08:48:00']",222.0,"['08:48:00', '12:30:00']",139.0,"['07:25:00', '17:55:00']",630.0,[40.0]
2,16,25.0,"['06:20:00', '06:45:00']",35.0,"['17:15:00', '17:50:00']",10.0,"['06:20:00', '17:50:00']",690.0,"[9.0, 14.0]"
3,12,25.0,"['06:20:00', '06:45:00']",35.0,"['17:15:00', '17:50:00']",10.0,"['06:20:00', '18:25:00']",725.0,"[24.0, 29.0]"
4,4,83.0,"['08:05:00', '09:28:00']",300.0,"['06:30:00', '11:30:00']",217.0,"['06:30:00', '17:10:00']",640.0,"[42.0, 53.0, 57.0]"
5,14,20.0,"['06:10:00', '06:30:00']",45.0,"['18:25:00', '19:10:00']",25.0,"['06:10:00', '22:37:00']",987.0,"[12.0, 13.0, 14.0, 15.0, 17.0, 21.0, 23.0, 24.0, 25.0]"
6,11,25.0,"['06:35:00', '07:00:00']",30.0,"['06:05:00', '06:35:00']",5.0,"['06:05:00', '17:45:00']",700.0,"[12.0, 13.0, 14.0, 15.0]"
7,5,30.0,"['10:15:00', '10:45:00']",45.0,"['18:28:00', '19:13:00']",15.0,"['06:30:00', '22:58:00']",988.0,"[9.0, 10.0, 14.0]"
8,3J,25.0,"['06:20:00', '06:45:00']",33.0,"['17:07:00', '17:40:00']",8.0,"['06:20:00', '18:06:00']",706.0,"[15.0, 18.0, 19.0, 21.0]"
9,10,25.0,"['17:37:00', '18:02:00']",45.0,"['18:25:00', '19:10:00']",20.0,"['06:20:00', '22:32:00']",972.0,"[14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0]"
10,3C,25.0,"['06:05:00', '06:30:00']",45.0,"['18:03:00', '18:48:00']",20.0,"['06:05:00', '22:54:00']",1009.0,"[16.0, 17.0, 18.0, 19.0, 20.0]"
11,1,15.0,"['06:10:00', '06:25:00']",115.0,"['06:25:00', '08:20:00']",100.0,"['06:10:00', '23:17:00']",1027.0,"[15.0, 17.0, 20.0, 21.0, 22.0, 23.0, 35.0, 40.0, 42.0, 60.0, 63.0, 64.0, 65.0, 67.0, 68.0, 70.0, 73.0, 75.0]"
12,9,8.0,"['09:55:00', '10:03:00']",568.0,"['09:40:00', '19:08:00']",560.0,"['06:10:00', '22:53:00']",1003.0,"[20.0, 29.0, 33.0, 34.0, 35.0, 36.0, 37.0, 40.0, 42.0, 43.0, 44.0, 45.0]"
13,8,25.0,"['06:50:00', '07:15:00']",525.0,"['10:00:00', '18:45:00']",500.0,"['06:20:00', '22:33:00']",973.0,"[20.0, 34.0, 35.0, 37.0, 38.0, 39.0, 40.0, 42.0, 44.0, 45.0]"
14,7,15.0,"['08:30:00', '08:45:00']",47.0,"['18:24:00', '19:11:00']",32.0,"['06:00:00', '22:49:00']",1009.0,"[12.0, 16.0]"
15,2,15.0,"['06:45:00', '07:00:00']",45.0,"['18:53:00', '19:38:00']",30.0,"['06:20:00', '22:38:00']",978.0,"[24.0, 25.0, 27.0, 29.0]"
16,3M,15.0,"['10:00:00', '10:15:00']",45.0,"['19:55:00', '20:40:00']",30.0,"['06:10:00', '22:55:00']",1005.0,"[15.0, 18.0, 19.0, 20.0, 21.0, 22.0, 24.0, 29.0]"
